technology,year,CAPEX_MEUR_MW,FOM_EUR_MW_y,VOM_EUR_MWh,lifetime_y,conversion_rate_elec_pu,conversion_rate_heat_pu,CO2_captured_pu,currency,metadata
air-heatpump,2020,1.32,42399.45,0.0,16.8,,2.95,0.0,2025 EUR,"Technology catalogue for Individual Heating - Latest update April 2024, Danish Energy Agency, 2024"
air-heatpump,2030,1.1,32127.87,0.0,16.8,,3.24,0.0,2025 EUR,"Technology catalogue for Individual Heating - Latest update April 2024, Danish Energy Agency, 2024"
air-heatpump,2040,1.01,31316.57,0.0,16.8,,3.39,0.0,2025 EUR,"Technology catalogue for Individual Heating - Latest update April 2024, Danish Energy Agency, 2024"
air-heatpump,2050,0.93,30512.26,0.0,16.8,,3.5,0.0,2025 EUR,"Technology catalogue for Individual Heating - Latest update April 2024, Danish Energy Agency, 2024"
air-heatpump-cool,2020,0.43,50123.23,0.0,12.0,,4.72,0.0,2025 EUR,"Technology catalogue for Individual Heating - Latest update April 2024, Danish Energy Agency, 2024"
air-heatpump-cool,2030,0.4,33425.41,0.0,12.0,,5.18,0.0,2025 EUR,"Technology catalogue for Individual Heating - Latest update April 2024, Danish Energy Agency, 2024"
air-heatpump-cool,2040,0.39,32258.08,0.0,12.0,,5.38,0.0,2025 EUR,"Technology catalogue for Individual Heating - Latest update April 2024, Danish Energy Agency, 2024"
air-heatpump-cool,2050,0.37,31090.76,0.0,12.0,,5.45,0.0,2025 EUR,"Technology catalogue for Individual Heating - Latest update April 2024, Danish Energy Agency, 2024"
bio-CHP,2020,4.78,181250.52,4.25,25.0,0.28,0.74,0.0,2025 EUR,"Technology Data Catalogue for Electricity and district heating production - Updated 2024, Danish Energy Agency, 2024"
bio-CHP,2030,4.54,172654.38,4.24,25.0,0.28,0.74,0.0,2025 EUR,"Technology Data Catalogue for Electricity and district heating production - Updated 2024, Danish Energy Agency, 2024"
bio-CHP,2040,4.41,167990.52,4.27,25.0,0.28,0.74,0.0,2025 EUR,"Technology Data Catalogue for Electricity and district heating production - Updated 2024, Danish Energy Agency, 2024"
bio-CHP,2050,4.29,163326.66,4.3,25.0,0.28,0.75,0.0,2025 EUR,"Technology Data Catalogue for Electricity and district heating production - Updated 2024, Danish Energy Agency, 2024"
bio-CHP+CC,2020,6.59,235262.93,5.18,25.0,0.23,0.61,0.92,2025 EUR,"Technology Data Catalogue for Electricity and district heating production - Updated 2024, Danish Energy Agency, 2024, Technology catalogue for carbon capture, transport and storage - Updated April 2024, Danish Energy Agency, 2024"
